,GEO_ID,Total Education Population,Enrolled at school,Total Family,under poverty level
262,1500000US550250122023,854,276,213,22
263,1500000US550250122024,2880,603,678,0
264,1500000US550250123001,2023,568,607,26
265,1500000US550250123002,1496,403,370,17
266,1500000US550250123003,509,30,151,0
267,1500000US550250123004,1366,306,390,0
268,1500000US550250124001,2857,727,925,7
269,1500000US550250124002,2004,421,588,10
270,1500000US550250125011,2219,570,664,18
271,1500000US550250125012,1378,229,295,18
272,1500000US550250125013,565,78,125,0
273,1500000US550250125014,1642,509,418,0
274,1500000US550250125015,758,121,257,16
275,1500000US550250125021,1145,159,105,5
276,1500000US550250125022,2572,906,699,12
277,1500000US550250125023,2104,504,618,0
278,1500000US550250126001,1454,364,423,10
279,1500000US550250126002,637,167,193,8
280,1500000US550250126003,2395,545,734,21
281,1500000US550250127001,2264,458,712,16
282,1500000US550250127002,1715,379,541,3
283,1500000US550250128001,556,166,127,0
284,1500000US550250128002,1092,418,272,0
285,1500000US550250128003,3482,1146,949,28
286,1500000US550250128004,2723,820,675,0
287,1500000US550250129001,1155,239,354,23
288,1500000US550250129002,1778,348,574,20
289,1500000US550250129003,1042,202,324,5
290,1500000US550250130001,2591,622,740,4
291,1500000US550250130002,1998,495,530,9
292,1500000US550250131001,634,116,184,17
293,1500000US550250131002,809,202,234,3
294,1500000US550250131003,1427,341,401,37
295,1500000US550250131004,1775,322,486,25
296,1500000US550250132001,1920,322,545,16
297,1500000US550250132002,1634,420,508,10
298,1500000US550250132003,1933,409,520,19
299,1500000US550250132004,1650,282,483,14
300,1500000US550250132005,2342,560,699,0
301,1500000US550250133011,1413,334,416,37
302,1500000US550250133012,3438,1078,940,62
303,1500000US550250133021,381,85,88,2
304,1500000US550250133022,2913,765,848,82
305,1500000US550250133023,2302,604,730,16
306,1500000US550250137001,4520,1484,1179,12
307,1500000US550250137002,1539,333,307,16
308,1500000US550259917020,0,0,0,0
309,1500000US550259917030,0,0,0,0
