"GEO_ID","NAME","B14007_001E","B14007_001M","B14007_002E","B14007_002M","B14007_003E","B14007_003M","B14007_004E","B14007_004M","B14007_005E","B14007_005M","B14007_006E","B14007_006M","B14007_007E","B14007_007M","B14007_008E","B14007_008M","B14007_009E","B14007_009M","B14007_010E","B14007_010M","B14007_011E","B14007_011M","B14007_012E","B14007_012M","B14007_013E","B14007_013M","B14007_014E","B14007_014M","B14007_015E","B14007_015M","B14007_016E","B14007_016M","B14007_017E","B14007_017M","B14007_018E","B14007_018M","B14007_019E","B14007_019M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 2","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 3","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 6","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 7","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 10","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 11","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school"
"1500000US550250005014","Block Group 4, Census Tract 5.01, Dane County, Wisconsin","1197","336","188","156","56","56","56","53","42","56","16","25","11","24","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","7","11","0","9","1009","255"
"1500000US550250005031","Block Group 1, Census Tract 5.03, Dane County, Wisconsin","346","139","56","47","19","31","0","9","10","26","0","9","0","9","0","9","0","9","19","32","8","16","0","9","0","9","0","9","0","9","0","9","0","9","0","9","290","102"
"1500000US550250005032","Block Group 2, Census Tract 5.03, Dane County, Wisconsin","1644","391","503","226","0","9","0","9","26","38","13","21","0","9","12","21","13","21","0","9","57","66","49","65","74","53","9","20","76","54","22","30","100","73","52","58","1141","234"
"1500000US550250005033","Block Group 3, Census Tract 5.03, Dane County, Wisconsin","1979","347","296","108","16","26","36","37","0","9","45","53","0","9","0","9","3","10","27","44","3","11","0","9","11","18","72","96","40","47","17","25","26","43","0","9","1683","317"
"1500000US550250005034","Block Group 4, Census Tract 5.03, Dane County, Wisconsin","598","205","188","116","34","39","53","47","0","9","0","9","0","9","0","9","0","9","0","9","0","9","44","45","0","9","23","33","21","33","0","9","13","20","0","9","410","117"
"1500000US550250005035","Block Group 5, Census Tract 5.03, Dane County, Wisconsin","2128","417","664","248","132","114","0","9","19","31","8","16","19","34","21","37","0","9","83","87","44","67","0","9","53","71","76","72","0","9","63","86","41","46","105","101","1464","281"
"1500000US550250005041","Block Group 1, Census Tract 5.04, Dane County, Wisconsin","1241","266","251","130","27","32","23","28","14","22","69","76","14","23","0","9","0","9","49","44","8","15","21","32","0","9","0","9","7","15","0","9","19","31","0","9","990","172"
"1500000US550250005042","Block Group 2, Census Tract 5.04, Dane County, Wisconsin","1343","344","242","127","30","38","0","9","0","9","0","9","0","9","18","28","0","9","0","9","0","9","0","9","18","28","24","31","16","24","13","20","59","62","64","79","1101","319"
"1500000US550250005043","Block Group 3, Census Tract 5.04, Dane County, Wisconsin","2912","436","912","338","106","80","30","31","0","9","66","74","86","99","38","31","0","9","12","19","49","69","25","27","65","74","36","40","29","31","0","9","325","216","45","58","2000","272"
"1500000US550250005044","Block Group 4, Census Tract 5.04, Dane County, Wisconsin","1346","330","382","201","19","25","0","9","59","70","0","9","56","69","29","31","62","58","22","32","21","21","21","28","0","9","0","9","0","9","35","55","42","51","16","28","964","191"
"1500000US550250006001","Block Group 1, Census Tract 6, Dane County, Wisconsin","2156","676","906","437","44","58","6","13","0","9","0","9","134","110","10","17","58","74","56","60","178","132","68","77","140","100","27","35","57","47","23","22","74","66","31","34","1250","345"
"1500000US550250006002","Block Group 2, Census Tract 6, Dane County, Wisconsin","2254","602","644","373","154","143","0","9","0","9","43","67","0","9","95","107","50","54","97","111","26","45","0","9","0","9","0","9","21","36","0","9","125","114","33","36","1610","485"
