"geo_key","name","bndry_chg","acres","hu_10","pc_own_10","tot_pop_10","pc_un5_10","pc_un18_10","pc_ov64_10","pc_wht_10","pc_afrm_10","pc_asn_10","pc_othm_10","pc_hisp_10","hh_10","fam_10","pc_fmwc_10","pc_fhwc_10","du_cty","asst_unts","du_cmps","yrblt_mdn","prd_viol","avg_huval","sqft_val","avg_c_hval","sqft_c_val","avg_n_hval","sqft_n_val","crm_pers","crm_prop","crm_scty","crash","prmry_ems","prmry_fire","pc_vterm","pc_appr","pc_krdy","pc_nhsg","pc_clgg","pc_hmbl","pc_frlu","cc_prvdrs","cc_cpcty","cc_enrlmt","medhhinc","fam_pov","pc_unem","gds_svcs","pc_trst","trst_trps","pc_ownvh","avg_stcnd"
"351","Rocky Bluff Neighborhood Association","No","88.8","585","26.4","1038","3.6","9.6","5.6","76.8","2.4","12.1","4.2","4.5","564","167","11.1","3.5","555","4","47","1960","6","291312","198.1","134600","169.8","269056.9","209.5","2","18","5","26",44,22,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",3,182,215,""N/A"",""N/A"",""N/A"","P,B,G","100","2559",""N/A"","5.4"
"178","Leopold Neighborhood Association","No","121.7","553","29","1106","10.3","27.1","5.3","45","24.5","6.5","4.2","19.7","499","243","29.3","17.1","540","117","0","1981","53",""N/A"",""N/A"","113160.7","101.9",""N/A"",""N/A"","22","51","105","46",157,58,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",8,333,131,""N/A"",""N/A"",""N/A"","P,B,G","93.3","446",""N/A"","6.7"
"358","Liberty Place Neighborhood Association","No","74","153","88.5","432","14.5","30.7","0.7","65.7","10.8","11.2","4.6","7.7","147","115","45","6.6","198","0","0","2005","6","271318","148.9",""N/A"",""N/A"","263314.3","142.9","0","6","1","2",18,11,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",5,253,8,""N/A"",""N/A"",""N/A"","None","100","93",""N/A"","8"
"135","Junction Ridge Neighborhood Association","No","458.8","976","38.6","1628","3.7","10.5","30.9","80.6","1.5","13.2","1.5","3.2","904","347","10.3","2.1","1474","73","0","2000","1","304156","135.9","230943.7","175.6","265258.3","137.4","5","80","25","105",276,141,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",0,0,0,""N/A"",""N/A"",""N/A"","P,B,G","54.1","657",""N/A"","6.5"
"141","Greenbush Neighborhood Association","No","178.9","1148","25.5","2878","2.3","5.6","3.1","88.8","1.3","3.2","2.9","3.9","1116","280","9","1.7","1629","82","0","1925","40","328160","209.3","249481.4","231.6","278004.4","197","40","133","165","106",258,238,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",6,219,147,""N/A"",""N/A"",""N/A"","P,B","96.9","2164",""N/A"","6.5"
"162","Highland Manor Home Owners Association","No","78.3","157","92.2","344","5.8","20","16.5","61.5","2.4","1.2","3.7","31.2","151","80","21.5","4.3","364","0","0","1971","0",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"","1","21","9","5",49,21,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",0,0,0,""N/A"",""N/A"",""N/A"","None","0","317",""N/A"","6"
"171","Allied Dunn's Marsh Neighborhood Association","No","218.2","1032","27.6","2356","11.6","34.6","4.1","32.1","33.7","5.1","4.9","24.2","891","525","39.6","21.4","1036","207","0","1964","71","168392","139.9","45455.6","60.4","166935.5","132.7","25","89","139","46",255,108,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",9,460,138,""N/A"",""N/A"",""N/A"","B,G","95.6","705",""N/A"","5.9"
"89","Whitetail Ridge","No","62.8","183","94.5","507","7.1","25.4","2.7","76.2","3.9","6.7","2.9","10.2","181","130","34.3","4.4","191","0","0","1995","5","226573","148",""N/A"",""N/A"","228260","159.5","0","2","2","4",15,7,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",1,7,0,""N/A"",""N/A"",""N/A"","None","35.6","246",""N/A"","7.8"
"113","Rolling Meadows Neighborhood Association","No","332.5","1004","80.9","2366","6.7","20.7","15","84.1","5.5","1.5","2.8","6.1","975","652","26.8","7.8","1042","24","0","1966","30","219312","139.2","106445","101.3","214353.3","138.4","10","43","44","44",391,123,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",11,375,223,""N/A"",""N/A"",""N/A"","P,B,G","92.2","416",""N/A"","6.3"
"349","Majestic Oaks Neighborhood Association","No","82.5","334","94.8","467","3.8","8.8","23.2","86.7","2","1.9","3.4","6","309","87","8.2","4.7","313","0","0","1935","0",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"","2","21","34","21",118,36,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",3,170,126,""N/A"",""N/A"",""N/A"","P,B","100","226",""N/A"","9.8"
"350","Marbella Condominium Association","No","20.1","349","24.4","463","4.8","10.1","23","78.8","2.9","14.6","1.3","2.4","292","94","11.1","3.8","318","0","0","1996","0",""N/A"",""N/A"","105927.3","99.2",""N/A"",""N/A"","1","7","4","4",46,16,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",1,46,56,""N/A"",""N/A"",""N/A"","P,B,G","100","516",""N/A"","6.6"
